characteristic,OR
Sex: F,1    (ref)
Sex: M,0.56 (0.55-0.57)
Ethnicity: White,1    (ref)
Ethnicity: Black,0.20 (0.19-0.20)
Ethnicity: South Asian,0.47 (0.46-0.48)
Ethnicity: Mixed,0.29 (0.28-0.31)
Ethnicity: Other,0.26 (0.25-0.27)
Ethnicity: Missing,0.42 (0.42-0.43)
Smoking status: Current-smoker,1    (ref)
Smoking status: Ex-smoker,2.32 (2.29-2.36)
Smoking status: Non-smoker,1.95 (1.93-1.98)
Smoking status: Missing,0.20 (0.19-0.20)
IMD: 1 most deprived,1    (ref)
IMD: 2,1.41 (1.39-1.43)
IMD: 3,1.80 (1.77-1.84)
IMD: 4,2.22 (2.18-2.26)
IMD: 5 least deprived,2.79 (2.74-2.84)
IMD: Missing,3.24 (3.17-3.32)
Rural urban classification: -1,1    (ref)
Rural urban classification: 0,0.56 (0.51-0.62)
Rural urban classification: 1,0.36 (0.33-0.39)
Rural urban classification: 2,0.68 (0.62-0.73)
Rural urban classification: 3,0.68 (0.63-0.73)
Rural urban classification: 4,0.65 (0.55-0.77)
Rural urban classification: 5,1.13 (1.04-1.22)
Rural urban classification: 6,1.00 (0.88-1.13)
Rural urban classification: 7,1.19 (1.10-1.29)
Rural urban classification: 8,1.03 (0.92-1.15)
Flu vaccine in 2019/2020 period,5.62 (5.36-5.89)
GP consultations in 2019: 0,1    (ref)
GP consultations in 2019: 1-3,3.66 (3.61-3.71)
GP consultations in 2019: 4-6,4.04 (3.97-4.11)
GP consultations in 2019: 7+,3.69 (3.63-3.75)
Unplanned hosp. admission while eligible,1.24 (1.17-1.31)
BMI: Not obese,1    (ref)
BMI: Obese I (30-34.9),1.32 (1.30-1.34)
BMI: Obese II (35-39.9),1.53 (1.49-1.57)
BMI: Missing,0.34 (0.34-0.35)
Hypertension,1.52 (1.49-1.55)
SSRI,2.37 (2.30-2.43)
DMARD,2.45 (1.98-3.07)
Any asthma,1.66 (1.63-1.69)
COVID +ve test before eligible,2.24 (2.18-2.31)
COVID +ve test while eligible,1.14 (1.02-1.26)
Probable COVID before eligible,2.52 (2.41-2.65)
Probable COVID while eligible,1.24 (0.93-1.70)
COVID hosp. before eligible,1.33 (1.18-1.52)
