characteristic,OR
Age group: 30-34,1    (ref)
Age group: 35-39,1.28 (1.27-1.29)
Sex: F,1    (ref)
Sex: M,0.62 (0.62-0.63)
Ethnicity: White,1    (ref)
Ethnicity: Black,0.33 (0.32-0.34)
Ethnicity: South Asian,0.64 (0.63-0.64)
Ethnicity: Mixed,0.45 (0.44-0.46)
Ethnicity: Other,0.37 (0.37-0.38)
Ethnicity: Missing,0.65 (0.65-0.66)
Smoking status: Current-smoker,1    (ref)
Smoking status: Ex-smoker,2.09 (2.08-2.11)
Smoking status: Non-smoker,1.94 (1.93-1.95)
Smoking status: Missing,0.59 (0.58-0.59)
IMD: 1 most deprived,1    (ref)
IMD: 2,1.25 (1.24-1.26)
IMD: 3,1.52 (1.51-1.54)
IMD: 4,1.85 (1.83-1.87)
IMD: 5 least deprived,2.45 (2.43-2.47)
IMD: Missing,2.79 (2.75-2.82)
Rural urban classification: -1,1    (ref)
Rural urban classification: 0,0.30 (0.29-0.31)
Rural urban classification: 1,0.26 (0.25-0.27)
Rural urban classification: 2,0.45 (0.44-0.46)
Rural urban classification: 3,0.44 (0.42-0.45)
Rural urban classification: 4,0.56 (0.52-0.61)
Rural urban classification: 5,0.75 (0.73-0.77)
Rural urban classification: 6,0.74 (0.70-0.78)
Rural urban classification: 7,0.77 (0.75-0.79)
Rural urban classification: 8,0.83 (0.78-0.88)
Flu vaccine in 2019/2020 period,4.17 (4.08-4.25)
GP consultations in 2019: 0,1    (ref)
GP consultations in 2019: 1-3,2.99 (2.97-3.01)
GP consultations in 2019: 4-6,3.33 (3.30-3.36)
GP consultations in 2019: 7+,3.34 (3.32-3.37)
Unplanned hosp. admission while eligible,1.16 (1.13-1.20)
BMI: Not obese,1    (ref)
BMI: Obese I (30-34.9),1.54 (1.53-1.56)
BMI: Obese II (35-39.9),1.90 (1.87-1.93)
BMI: Missing,0.69 (0.69-0.70)
Hypertension,1.74 (1.69-1.79)
SSRI,2.08 (2.05-2.11)
DMARD,3.31 (2.85-3.87)
Any asthma,1.82 (1.80-1.83)
Pregnant on eligibility date,0.59 (0.58-0.61)
COVID +ve test before eligible,1.83 (1.81-1.85)
COVID +ve test while eligible,1.04 (1.03-1.06)
Probable COVID before eligible,2.02 (1.98-2.06)
Probable COVID while eligible,0.65 (0.61-0.70)
COVID hosp. before eligible,1.34 (1.24-1.45)
COVID hosp. while eligible,0.21 (0.18-0.24)
