characteristic,OR
Age group: 80-84,1    (ref)
Age group: 85-89,0.91 (0.89-0.93)
Age group: 90-94,0.77 (0.75-0.79)
Age group: 95+,0.51 (0.49-0.53)
Sex: F,1    (ref)
Sex: M,1.07 (1.05-1.08)
Ethnicity: White,1    (ref)
Ethnicity: Black,0.10 (0.10-0.10)
Ethnicity: South Asian,0.20 (0.19-0.20)
Ethnicity: Mixed,0.17 (0.16-0.19)
Ethnicity: Other,0.19 (0.18-0.21)
Ethnicity: Missing,0.24 (0.24-0.25)
Smoking status: Current-smoker,1    (ref)
Smoking status: Ex-smoker,2.24 (2.16-2.32)
Smoking status: Non-smoker,1.56 (1.50-1.61)
Smoking status: Missing,0.05 (0.05-0.06)
IMD: 1 most deprived,1    (ref)
IMD: 2,1.41 (1.37-1.45)
IMD: 3,1.92 (1.87-1.97)
IMD: 4,2.32 (2.26-2.38)
IMD: 5 least deprived,2.76 (2.68-2.84)
IMD: Missing,2.79 (2.69-2.89)
Rural urban classification: -1,1    (ref)
Rural urban classification: 0,0.82 (0.70-0.97)
Rural urban classification: 1,0.49 (0.43-0.57)
Rural urban classification: 2,0.86 (0.74-0.99)
Rural urban classification: 3,0.94 (0.81-1.08)
Rural urban classification: 4,0.98 (0.78-1.24)
Rural urban classification: 5,1.44 (1.25-1.66)
Rural urban classification: 6,1.79 (1.48-2.17)
Rural urban classification: 7,1.41 (1.22-1.63)
Rural urban classification: 8,1.31 (1.09-1.56)
Flu vaccine in 2019/2020 period,7.50 (7.37-7.64)
GP consultations in 2019: 0,1    (ref)
GP consultations in 2019: 1-3,4.67 (4.56-4.79)
GP consultations in 2019: 4-6,7.07 (6.88-7.26)
GP consultations in 2019: 7+,8.74 (8.55-8.93)
End of life care while eligible,0.43 (0.40-0.45)
Unplanned hosp. admission while eligible,0.45 (0.43-0.46)
BMI: Not obese,1    (ref)
BMI: Obese I (30-34.9),1.03 (1.01-1.06)
BMI: Obese II (35-39.9),0.87 (0.84-0.91)
BMI: Obese III (40+),0.68 (0.64-0.73)
BMI: Missing,0.17 (0.17-0.17)
Hypertension,1.53 (1.50-1.56)
SSRI,1.46 (1.40-1.53)
DMARD,2.15 (1.96-2.37)
Any asthma,1.20 (1.17-1.24)
Severe asthma,1.15 (1.03-1.30)
Chronic respiratory disease,1.29 (1.25-1.33)
Chronic heart disease,1.57 (1.54-1.60)
Chronic kidney disease,1.41 (1.38-1.44)
Chronic liver disease,1.21 (1.13-1.29)
Chronic neurological disease,1.15 (1.12-1.17)
Diabetes,1.09 (1.07-1.12)
Immunosuppressed,1.53 (1.46-1.61)
Asplenia/dysfunction of spleen,1.50 (1.34-1.68)
Severe mental illness,0.53 (0.49-0.57)
Learning disability,0.71 (0.56-0.90)
Clinically extremely vulnerable,1.23 (1.19-1.26)
COVID +ve test before eligible,0.90 (0.84-0.96)
COVID +ve test while eligible,0.21 (0.21-0.22)
Probable COVID before eligible,1.02 (0.95-1.10)
Probable COVID while eligible,0.20 (0.19-0.21)
COVID hosp. before eligible,0.57 (0.53-0.62)
COVID hosp. while eligible,0.12 (0.12-0.13)
