Characteristic,Unvaccinated,Vaccinated
n (% of sample),"57,937 (5.2)","1,058,360 (94.8)"
Age,85.9 (4.9),85.2 (4.3)
Age group: 80-84,"27,103 (46.8)","547,420 (51.7)"
Age group: 85-89,"17,936 (31)","330,520 (31.2)"
Age group: 90-94,"9,140 (15.8)","141,960 (13.4)"
Age group: 95+,"3,758 (6.5)","38,460 (3.6)"
Sex: F,"34,619 (59.8)","616,100 (58.2)"
Sex: M,"23,318 (40.2)","442,260 (41.8)"
Ethnicity: White,"36,782 (63.5)","944,630 (89.3)"
Ethnicity: Black,"2,777 (4.8)","7,090 (0.7)"
Ethnicity: South Asian,"4,307 (7.4)","21,870 (2.1)"
Ethnicity: Mixed,653 (1.1),"2,920 (0.3)"
Ethnicity: Other,"1,078 (1.9)","5,360 (0.5)"
Ethnicity: Missing,"12,340 (21.3)","76,490 (7.2)"
Smoking status: Current-smoker,"3,939 (6.8)","42,590 (4)"
Smoking status: Ex-smoker,"23,586 (40.7)","570,160 (53.9)"
Smoking status: Non-smoker,"26,359 (45.5)","443,250 (41.9)"
Smoking status: Missing,"4,053 (7)","2,360 (0.2)"
IMD: 1 most deprived,"12,493 (21.6)","121,310 (11.5)"
IMD: 2,"11,398 (19.7)","155,970 (14.7)"
IMD: 3,"10,816 (18.7)","201,190 (19)"
IMD: 4,"10,188 (17.6)","229,460 (21.7)"
IMD: 5 least deprived,"8,645 (14.9)","231,370 (21.9)"
IMD: Missing,"4,397 (7.6)","119,060 (11.2)"
Rural urban classification: -1,202 (0.3),"4,090 (0.4)"
Rural urban classification: 0,685 (1.2),"11,430 (1.1)"
Rural urban classification: 1,"14,680 (25.3)","146,650 (13.9)"
Rural urban classification: 2,"3,513 (6.1)","61,180 (5.8)"
Rural urban classification: 3,"29,032 (50.1)","550,720 (52)"
Rural urban classification: 4,121 (0.2),"2,410 (0.2)"
Rural urban classification: 5,"5,260 (9.1)","153,600 (14.5)"
Rural urban classification: 6,246 (0.4),"8,940 (0.8)"
Rural urban classification: 7,"3,854 (6.7)","110,250 (10.4)"
Rural urban classification: 8,344 (0.6),"9,090 (0.9)"
Region: London,"6,327 (10.9)","32,480 (3.1)"
Region: East of England,"13,215 (22.8)","249,620 (23.6)"
Region: East Midlands,"9,407 (16.2)","183,400 (17.3)"
Region: North East,"2,499 (4.3)","47,090 (4.4)"
Region: North West,"3,732 (6.4)","96,210 (9.1)"
Region: South East,"4,494 (7.8)","81,920 (7.7)"
Region: South West,"6,986 (12.1)","185,260 (17.5)"
Region: West Midlands,"3,771 (6.5)","37,100 (3.5)"
Region: Yorkshire and the Humber,"7,479 (12.9)","145,090 (13.7)"
Region: Missing,27 (0),190 (0)
Flu vaccine in 2019/2020 period,"18,093 (31.2)","818,180 (77.3)"
GP consultations in 2019: 0,"19,762 (34.1)","70,360 (6.6)"
GP consultations in 2019: 1-3,"10,433 (18)","173,610 (16.4)"
GP consultations in 2019: 4-6,"8,187 (14.1)","205,990 (19.5)"
GP consultations in 2019: 7+,"19,555 (33.8)","608,400 (57.5)"
End of life care while eligible,"1,288 (2.2)","10,220 (1)"
Unplanned hosp. admission while eligible,"7,973 (13.8)","70,230 (6.6)"
BMI: Not obese,"38,541 (66.5)","807,680 (76.3)"
BMI: Obese I (30-34.9),"7,577 (13.1)","163,780 (15.5)"
BMI: Obese II (35-39.9),"2,372 (4.1)","43,360 (4.1)"
BMI: Obese III (40+),921 (1.6),"13,120 (1.2)"
BMI: Missing,"8,526 (14.7)","30,420 (2.9)"
Hypertension,"18,629 (32.2)","445,070 (42.1)"
SSRI,"2,073 (3.6)","54,360 (5.1)"
DMARD,433 (0.7),"16,890 (1.6)"
Any asthma,"5,849 (10.1)","125,830 (11.9)"
Severe asthma,317 (0.5),"6,680 (0.6)"
Chronic respiratory disease,"5,258 (9.1)","120,720 (11.4)"
Chronic heart disease,"18,787 (32.4)","454,820 (43)"
Chronic kidney disease,"13,885 (24)","325,560 (30.8)"
Chronic liver disease,856 (1.5),"18,790 (1.8)"
Chronic neurological disease,"9,270 (16)","189,530 (17.9)"
Diabetes,"10,881 (18.8)","213,590 (20.2)"
Immunosuppressed,"1,660 (2.9)","45,720 (4.3)"
Asplenia/dysfunction of spleen,312 (0.5),"8,510 (0.8)"
Severe mental illness,731 (1.3),"7,120 (0.7)"
Learning disability,75 (0.1),970 (0.1)
Clinically extremely vulnerable,"6,881 (11.9)","150,050 (14.2)"
COVID +ve test before eligible,942 (1.6),"15,540 (1.5)"
COVID +ve test while eligible,"4,297 (7.4)","17,700 (1.7)"
Probable COVID before eligible,768 (1.3),"14,290 (1.4)"
Probable COVID while eligible,"1,934 (3.3)","7,380 (0.7)"
COVID hosp. before eligible,793 (1.4),"8,330 (0.8)"
COVID hosp. while eligible,"3,113 (5.4)","7,400 (0.7)"
