Characteristic,Unvaccinated,Vaccinated
n (% of sample),"792,588 (34.2)","1,526,100 (65.8)"
Age: mean (SD),34.3 (2.8),34.7 (2.9)
Age group: 30-34,"423,996 (37)","723,330 (63)"
Age group: 35-39,"368,592 (31.5)","802,770 (68.5)"
Sex: F,"313,815 (28.7)","780,950 (71.3)"
Sex: M,"478,773 (39.1)","745,150 (60.9)"
Ethnicity: White,"451,733 (29.8)","1,061,660 (70.2)"
Ethnicity: Black,"28,019 (55.6)","22,370 (44.4)"
Ethnicity: South Asian,"85,808 (40.1)","128,130 (59.9)"
Ethnicity: Mixed,"18,355 (48.2)","19,760 (51.8)"
Ethnicity: Other,"36,053 (53.6)","31,160 (46.4)"
Ethnicity: Missing,"172,620 (39.6)","263,020 (60.4)"
Smoking status: Current-smoker,"243,179 (45.3)","294,000 (54.7)"
Smoking status: Ex-smoker,"164,051 (28.2)","418,410 (71.8)"
Smoking status: Non-smoker,"332,231 (30)","776,600 (70)"
Smoking status: Missing,"53,127 (58.9)","37,090 (41.1)"
IMD: 1 most deprived,"220,992 (44.4)","276,970 (55.6)"
IMD: 2,"178,415 (39.1)","278,140 (60.9)"
IMD: 3,"148,094 (34.1)","285,770 (65.9)"
IMD: 4,"120,368 (29.8)","283,540 (70.2)"
IMD: 5 least deprived,"84,131 (24.5)","258,820 (75.5)"
IMD: Missing,"40,588 (22.1)","142,860 (77.9)"
Rural urban classification: -1,"7,459 (18.1)","33,770 (81.9)"
Rural urban classification: 0,"5,970 (39.7)","9,070 (60.3)"
Rural urban classification: 1,"257,627 (45.4)","310,220 (54.6)"
Rural urban classification: 2,"48,865 (32.8)","99,990 (67.2)"
Rural urban classification: 3,"398,033 (33)","809,140 (67)"
Rural urban classification: 4,740 (29.5),"1,770 (70.5)"
Rural urban classification: 5,"44,186 (22)","156,460 (78)"
Rural urban classification: 6,"1,718 (21.8)","6,160 (78.2)"
Rural urban classification: 7,"26,283 (22)","93,110 (78)"
Rural urban classification: 8,"1,707 (21)","6,410 (79)"
Region: London,"125,024 (54.9)","102,870 (45.1)"
Region: East of England,"178,403 (33.4)","356,410 (66.6)"
Region: East Midlands,"127,493 (32.4)","265,870 (67.6)"
Region: North East,"33,134 (30.6)","75,200 (69.4)"
Region: North West,"53,834 (28.2)","137,140 (71.8)"
Region: South East,"46,528 (32.5)","96,540 (67.5)"
Region: South West,"68,415 (25.1)","204,350 (74.9)"
Region: West Midlands,"43,531 (43.1)","57,440 (56.9)"
Region: Yorkshire and the Humber,"115,696 (33.5)","230,060 (66.5)"
Region: Missing,530 (70.7),220 (29.3)
Flu vaccine in 2019/2020 period,"10,420 (11.6)","79,300 (88.4)"
GP consultations in 2019: 0,"450,352 (50)","450,060 (50)"
GP consultations in 2019: 1-3,"160,506 (25.2)","475,580 (74.8)"
GP consultations in 2019: 4-6,"81,037 (23.3)","266,140 (76.7)"
GP consultations in 2019: 7+,"100,693 (23.1)","334,320 (76.9)"
End of life care while eligible,11 (18),50 (82)
Unplanned hosp. admission while eligible,"6,709 (31.8)","14,410 (68.2)"
BMI: Not obese,"509,489 (33.8)","996,820 (66.2)"
BMI: Obese I (30-34.9),"60,283 (25.2)","179,230 (74.8)"
BMI: Obese II (35-39.9),"20,453 (21.5)","74,780 (78.5)"
BMI: Missing,"202,363 (42.4)","275,270 (57.6)"
Hypertension,"6,217 (23.4)","20,370 (76.6)"
SSRI,"22,539 (20.6)","87,010 (79.4)"
DMARD,193 (13.5),"1,240 (86.5)"
Any asthma,"83,681 (23.6)","270,560 (76.4)"
Pregnant on eligibility date,"19,202 (46.2)","22,380 (53.8)"
COVID +ve test before eligible,"33,658 (22.7)","114,390 (77.3)"
COVID +ve test while eligible,"21,477 (33.3)","42,980 (66.7)"
Probable COVID before eligible,"11,110 (20.3)","43,640 (79.7)"
Probable COVID while eligible,"1,356 (45.9)","1,600 (54.1)"
COVID hosp. before eligible,941 (27.3),"2,500 (72.7)"
COVID hosp. while eligible,597 (72.2),230 (27.8)
