Characteristic,Unvaccinated,Vaccinated
n (% of sample),"57,937 (5.2)","1,058,360 (94.8)"
Age: mean (SD),85.9 (4.9),85.2 (4.3)
Age group: 80-84,"27,103 (4.7)","547,520 (95.3)"
Age group: 85-89,"17,936 (5.1)","330,640 (94.9)"
Age group: 90-94,"9,140 (6.1)","141,530 (93.9)"
Age group: 95+,"3,758 (8.9)","38,670 (91.1)"
Sex: F,"34,619 (5.3)","614,480 (94.7)"
Sex: M,"23,318 (5)","443,880 (95)"
Ethnicity: White,"36,783 (3.7)","945,840 (96.3)"
Ethnicity: Black,"2,777 (28)","7,150 (72)"
Ethnicity: South Asian,"4,310 (15.8)","22,910 (84.2)"
Ethnicity: Mixed,653 (18.9),"2,800 (81.1)"
Ethnicity: Other,"1,078 (18.1)","4,880 (81.9)"
Ethnicity: Missing,"12,336 (14.2)","74,780 (85.8)"
Smoking status: Current-smoker,"3,939 (8.4)","42,700 (91.6)"
Smoking status: Ex-smoker,"23,586 (4)","566,710 (96)"
Smoking status: Non-smoker,"26,359 (5.6)","446,310 (94.4)"
Smoking status: Missing,"4,053 (60.6)","2,640 (39.4)"
IMD: 1 most deprived,"12,493 (9.3)","121,300 (90.7)"
IMD: 2,"11,398 (6.8)","155,710 (93.2)"
IMD: 3,"10,816 (5.1)","200,430 (94.9)"
IMD: 4,"10,188 (4.2)","231,850 (95.8)"
IMD: 5 least deprived,"8,645 (3.6)","230,670 (96.4)"
IMD: Missing,"4,397 (3.6)","118,400 (96.4)"
Rural urban classification: -1,202 (4.5),"4,310 (95.5)"
Rural urban classification: 0,685 (5.4),"11,930 (94.6)"
Rural urban classification: 1,"14,680 (9.1)","145,830 (90.9)"
Rural urban classification: 2,"3,513 (5.4)","61,860 (94.6)"
Rural urban classification: 3,"29,032 (5)","549,870 (95)"
Rural urban classification: 4,121 (5),"2,280 (95)"
Rural urban classification: 5,"5,260 (3.3)","154,520 (96.7)"
Rural urban classification: 6,246 (2.8),"8,510 (97.2)"
Rural urban classification: 7,"3,854 (3.4)","109,740 (96.6)"
Rural urban classification: 8,344 (3.5),"9,510 (96.5)"
Region: London,"6,327 (16.2)","32,740 (83.8)"
Region: East of England,"13,215 (5)","248,550 (95)"
Region: East Midlands,"9,407 (4.9)","180,880 (95.1)"
Region: North East,"2,499 (5)","47,760 (95)"
Region: North West,"3,732 (3.7)","96,520 (96.3)"
Region: South East,"4,494 (5.2)","82,370 (94.8)"
Region: South West,"6,986 (3.6)","186,850 (96.4)"
Region: West Midlands,"3,771 (9.2)","37,000 (90.8)"
Region: Yorkshire and the Humber,"7,479 (4.9)","145,460 (95.1)"
Region: Missing,27 (10.5),230 (89.5)
Flu vaccine in 2019/2020 period,"18,093 (2.2)","820,520 (97.8)"
GP consultations in 2019: 0,"19,762 (22.2)","69,400 (77.8)"
GP consultations in 2019: 1-3,"10,433 (5.7)","173,400 (94.3)"
GP consultations in 2019: 4-6,"8,187 (3.8)","207,070 (96.2)"
GP consultations in 2019: 7+,"19,555 (3.1)","608,490 (96.9)"
End of life care while eligible,"1,288 (11.8)","9,630 (88.2)"
Unplanned hosp. admission while eligible,"7,973 (10.1)","71,120 (89.9)"
BMI: Not obese,"38,541 (4.6)","806,170 (95.4)"
BMI: Obese I (30-34.9),"7,577 (4.4)","164,840 (95.6)"
BMI: Obese II (35-39.9),"2,372 (5.2)","43,190 (94.8)"
BMI: Obese III (40+),921 (6.3),"13,620 (93.7)"
BMI: Missing,"8,526 (21.8)","30,540 (78.2)"
Hypertension,"18,629 (4.1)","437,680 (95.9)"
SSRI,"2,073 (3.7)","53,990 (96.3)"
DMARD,433 (2.5),"16,790 (97.5)"
Any asthma,"5,849 (4.4)","126,810 (95.6)"
Severe asthma,317 (4.4),"6,940 (95.6)"
Chronic respiratory disease,"5,258 (4.1)","121,650 (95.9)"
Chronic heart disease,"18,787 (3.9)","458,640 (96.1)"
Chronic kidney disease,"13,885 (4.1)","324,640 (95.9)"
Chronic liver disease,856 (4.2),"19,400 (95.8)"
Chronic neurological disease,"9,270 (4.7)","189,230 (95.3)"
Diabetes,"10,881 (4.9)","212,700 (95.1)"
Immunosuppressed,"1,660 (3.5)","45,760 (96.5)"
Asplenia/dysfunction of spleen,312 (3.9),"7,680 (96.1)"
Severe mental illness,731 (10),"6,590 (90)"
Learning disability,75 (8.4),820 (91.6)
Clinically extremely vulnerable,"6,881 (4.3)","152,660 (95.7)"
COVID +ve test before eligible,942 (5.9),"15,120 (94.1)"
COVID +ve test while eligible,"4,297 (19.7)","17,500 (80.3)"
Probable COVID before eligible,768 (5.3),"13,850 (94.7)"
Probable COVID while eligible,"1,934 (22)","6,850 (78)"
COVID hosp. before eligible,793 (8.6),"8,390 (91.4)"
COVID hosp. while eligible,"3,113 (30)","7,280 (70)"
