characteristic,OR
Age group: 80-84,1    (ref)
Age group: 85-89,0.91 (0.90-0.93)
Age group: 90-94,0.77 (0.75-0.79)
Age group: 95+,0.51 (0.49-0.53)
Sex: F,1    (ref)
Sex: M,1.07 (1.05-1.09)
Ethnicity: White,1    (ref)
Ethnicity: Black,0.10 (0.10-0.10)
Ethnicity: South Asian,0.21 (0.20-0.21)
Ethnicity: Mixed,0.17 (0.15-0.18)
Ethnicity: Other,0.18 (0.16-0.19)
Ethnicity: Missing,0.24 (0.23-0.24)
Smoking status: Current-smoker,1    (ref)
Smoking status: Ex-smoker,2.22 (2.14-2.30)
Smoking status: Non-smoker,1.56 (1.51-1.62)
Smoking status: Missing,0.06 (0.06-0.06)
IMD: 1 most deprived,1    (ref)
IMD: 2,1.41 (1.37-1.44)
IMD: 3,1.91 (1.86-1.96)
IMD: 4,2.34 (2.28-2.41)
IMD: 5 least deprived,2.75 (2.67-2.83)
IMD: Missing,2.77 (2.68-2.87)
Rural urban classification: -1,1    (ref)
Rural urban classification: 0,0.82 (0.69-0.96)
Rural urban classification: 1,0.47 (0.40-0.54)
Rural urban classification: 2,0.83 (0.71-0.95)
Rural urban classification: 3,0.89 (0.77-1.02)
Rural urban classification: 4,0.88 (0.70-1.12)
Rural urban classification: 5,1.38 (1.19-1.59)
Rural urban classification: 6,1.62 (1.34-1.96)
Rural urban classification: 7,1.33 (1.15-1.54)
Rural urban classification: 8,1.30 (1.08-1.55)
Flu vaccine in 2019/2020 period,7.60 (7.46-7.74)
GP consultations in 2019: 0,1    (ref)
GP consultations in 2019: 1-3,4.73 (4.61-4.85)
GP consultations in 2019: 4-6,7.20 (7.01-7.40)
GP consultations in 2019: 7+,8.86 (8.67-9.05)
End of life care while eligible,0.40 (0.38-0.43)
Unplanned hosp. admission while eligible,0.45 (0.44-0.46)
BMI: Not obese,1    (ref)
BMI: Obese I (30-34.9),1.04 (1.01-1.07)
BMI: Obese II (35-39.9),0.87 (0.83-0.91)
BMI: Obese III (40+),0.71 (0.66-0.76)
BMI: Missing,0.17 (0.17-0.18)
Hypertension,1.49 (1.46-1.51)
SSRI,1.45 (1.39-1.52)
DMARD,2.14 (1.95-2.36)
Any asthma,1.21 (1.18-1.25)
Severe asthma,1.20 (1.07-1.35)
Chronic respiratory disease,1.30 (1.26-1.34)
Chronic heart disease,1.59 (1.57-1.62)
Chronic kidney disease,1.40 (1.38-1.43)
Chronic liver disease,1.25 (1.16-1.34)
Chronic neurological disease,1.14 (1.12-1.17)
Diabetes,1.09 (1.06-1.11)
Immunosuppressed,1.53 (1.46-1.61)
Asplenia/dysfunction of spleen,1.35 (1.21-1.52)
Severe mental illness,0.49 (0.45-0.53)
Learning disability,0.60 (0.48-0.76)
Clinically extremely vulnerable,1.25 (1.22-1.28)
COVID +ve test before eligible,0.88 (0.82-0.94)
COVID +ve test while eligible,0.21 (0.20-0.22)
Probable COVID before eligible,0.99 (0.92-1.06)
Probable COVID while eligible,0.19 (0.18-0.20)
COVID hosp. before eligible,0.58 (0.54-0.62)
COVID hosp. while eligible,0.12 (0.12-0.13)
