characteristic,OR
Sex: F,1    (ref)
Sex: M,0.57 (0.56-0.57)
Ethnicity: White,1    (ref)
Ethnicity: Black,0.19 (0.18-0.19)
Ethnicity: South Asian,0.46 (0.45-0.47)
Ethnicity: Mixed,0.29 (0.28-0.31)
Ethnicity: Other,0.26 (0.26-0.27)
Ethnicity: Missing,0.42 (0.42-0.43)
Smoking status: Current-smoker,1    (ref)
Smoking status: Ex-smoker,2.37 (2.34-2.41)
Smoking status: Non-smoker,1.98 (1.96-2.01)
Smoking status: Missing,0.21 (0.20-0.21)
IMD: 1 most deprived,1    (ref)
IMD: 2,1.39 (1.37-1.41)
IMD: 3,1.78 (1.75-1.81)
IMD: 4,2.24 (2.20-2.28)
IMD: 5 least deprived,2.80 (2.75-2.85)
IMD: Missing,3.22 (3.14-3.29)
Rural urban classification: -1,1    (ref)
Rural urban classification: 0,0.53 (0.48-0.58)
Rural urban classification: 1,0.34 (0.32-0.37)
Rural urban classification: 2,0.65 (0.60-0.71)
Rural urban classification: 3,0.65 (0.60-0.70)
Rural urban classification: 4,0.55 (0.47-0.65)
Rural urban classification: 5,1.08 (1.00-1.17)
Rural urban classification: 6,1.03 (0.91-1.17)
Rural urban classification: 7,1.11 (1.03-1.20)
Rural urban classification: 8,0.92 (0.82-1.02)
Flu vaccine in 2019/2020 period,5.58 (5.33-5.85)
GP consultations in 2019: 0,1    (ref)
GP consultations in 2019: 1-3,3.66 (3.61-3.71)
GP consultations in 2019: 4-6,4.06 (3.98-4.13)
GP consultations in 2019: 7+,3.70 (3.64-3.76)
End of life care while eligible,1.20 (0.74-2.11)
Unplanned hosp. admission while eligible,1.25 (1.18-1.32)
BMI: Not obese,1    (ref)
BMI: Obese I (30-34.9),1.33 (1.31-1.35)
BMI: Obese II (35-39.9),1.55 (1.51-1.59)
BMI: Missing,0.35 (0.34-0.35)
Hypertension,1.52 (1.49-1.55)
SSRI,2.36 (2.30-2.43)
DMARD,2.28 (1.84-2.86)
Any asthma,1.66 (1.63-1.70)
COVID +ve test before eligible,2.27 (2.20-2.34)
COVID +ve test while eligible,0.99 (0.89-1.10)
Probable COVID before eligible,2.53 (2.41-2.65)
Probable COVID while eligible,1.51 (1.13-2.05)
COVID hosp. before eligible,1.29 (1.14-1.47)
COVID hosp. while eligible,0.51 (0.37-0.72)
