Characteristic,Unvaccinated,Vaccinated
n (% of sample),"156,549 (13.8)","975,360 (86.2)"
Age: mean (SD),51.9 (1.4),52 (1.4)
Age group: 50-54,"156,549 (13.8)","975,360 (86.2)"
Sex: F,"57,649 (10.4)","495,010 (89.6)"
Sex: M,"98,900 (17.1)","480,350 (82.9)"
Ethnicity: White,"80,326 (10.1)","713,040 (89.9)"
Ethnicity: Black,"8,326 (37.3)","13,990 (62.7)"
Ethnicity: South Asian,"10,659 (19.6)","43,680 (80.4)"
Ethnicity: Mixed,"2,860 (27.7)","7,480 (72.3)"
Ethnicity: Other,"5,062 (29.9)","11,890 (70.1)"
Ethnicity: Missing,"49,316 (21)","185,280 (79)"
Smoking status: Current-smoker,"42,860 (21)","160,800 (79)"
Smoking status: Ex-smoker,"38,316 (10.1)","341,160 (89.9)"
Smoking status: Non-smoker,"62,292 (11.9)","463,300 (88.1)"
Smoking status: Missing,"13,081 (56.4)","10,100 (43.6)"
IMD: 1 most deprived,"38,359 (22.5)","131,790 (77.5)"
IMD: 2,"31,951 (17.3)","152,740 (82.7)"
IMD: 3,"29,130 (14)","178,370 (86)"
IMD: 4,"26,155 (11.5)","200,970 (88.5)"
IMD: 5 least deprived,"21,321 (9.4)","205,070 (90.6)"
IMD: Missing,"9,633 (8.3)","106,420 (91.7)"
Rural urban classification: -1,712 (9),"7,220 (91)"
Rural urban classification: 0,"1,630 (15.7)","8,720 (84.3)"
Rural urban classification: 1,"47,309 (22.4)","164,070 (77.6)"
Rural urban classification: 2,"9,608 (13.1)","63,710 (86.9)"
Rural urban classification: 3,"76,307 (13.2)","500,980 (86.8)"
Rural urban classification: 4,212 (15.1),"1,190 (84.9)"
Rural urban classification: 5,"11,141 (8.3)","122,510 (91.7)"
Rural urban classification: 6,447 (8.7),"4,670 (91.3)"
Rural urban classification: 7,"8,517 (8.1)","96,100 (91.9)"
Rural urban classification: 8,666 (9.7),"6,190 (90.3)"
Region: London,"23,240 (34)","45,130 (66)"
Region: East of England,"34,646 (13)","231,640 (87)"
Region: East Midlands,"24,944 (12.7)","172,130 (87.3)"
Region: North East,"6,577 (12.2)","47,530 (87.8)"
Region: North West,"10,825 (10.5)","92,450 (89.5)"
Region: South East,"10,406 (13.3)","67,670 (86.7)"
Region: South West,"15,445 (9.8)","142,300 (90.2)"
Region: West Midlands,"8,389 (19.2)","35,260 (80.8)"
Region: Yorkshire and the Humber,"21,886 (13.4)","141,120 (86.6)"
Region: Missing,191 (59.5),130 (40.5)
Flu vaccine in 2019/2020 period,"1,822 (2.9)","60,170 (97.1)"
GP consultations in 2019: 0,"90,717 (25.8)","261,260 (74.2)"
GP consultations in 2019: 1-3,"30,927 (8.7)","325,610 (91.3)"
GP consultations in 2019: 4-6,"15,995 (7.9)","186,860 (92.1)"
GP consultations in 2019: 7+,"18,910 (8.6)","201,630 (91.4)"
End of life care while eligible,16 (11.8),120 (88.2)
Unplanned hosp. admission while eligible,"1,384 (11.4)","10,740 (88.6)"
BMI: Not obese,"100,837 (13.1)","670,400 (86.9)"
BMI: Obese I (30-34.9),"19,595 (10.2)","173,240 (89.8)"
BMI: Obese II (35-39.9),"6,070 (8.8)","62,580 (91.2)"
BMI: Missing,"30,047 (30.3)","69,140 (69.7)"
Hypertension,"10,421 (9.8)","95,420 (90.2)"
SSRI,"5,121 (6.6)","72,160 (93.4)"
DMARD,86 (6.6),"1,220 (93.4)"
Any asthma,"12,653 (9.2)","124,470 (90.8)"
COVID +ve test before eligible,"4,619 (6.8)","63,020 (93.2)"
COVID +ve test while eligible,397 (14),"2,440 (86)"
Probable COVID before eligible,"1,803 (6.1)","27,890 (93.9)"
Probable COVID while eligible,49 (9.6),460 (90.4)
COVID hosp. before eligible,266 (11.1),"2,140 (88.9)"
COVID hosp. while eligible,44 (23.9),140 (76.1)
